Tipo de Fio,NF,Fornecedor,Quantidade (Kg),Preço Unit. (R$),Data
Fio 102 Lavado,158376,AVANTI,"3.190,00","R$ 12,70",30/12/2025
Fio 102 Lavado,158374,AVANTI,"800,00","R$ 12,18",30/12/2025
Fio 102 Lavado,364737,UNIFI,"4.010,80","R$ 12,20",26/05/2026
Fio BT-76/36,361269,UNIFI,"1.009,91","R$ 21,83",25/03/2026
Fio PET de 1 Cabo,358239,UNIFI,"1.393,20","R$ 17,97",26/01/2026
Fio PET de 1 Cabo,358240,UNIFI,"997,35","R$ 17,97",26/01/2026
Fio PET de 1 Cabo,361270,UNIFI,"609,05","R$ 17,97",25/03/2026
Fio PET de 1 Cabo,361269,UNIFI,"2.003,75","R$ 17,97",25/03/2026
Fio PET de 1 Cabo,363253,UNIFI,"1.507,00","R$ 19,14",29/04/2026
Fio Polimp,363252,UNIFI,"1.010,25","R$ 18,80",29/04/2026
Fio Poliéster,359657,UNIFI,"3.010,60","R$ 16,73",24/02/2026
Fio Poliéster,361269,UNIFI,"3.015,30","R$ 16,73",25/03/2026
Fio Poliéster,364760,UNIFI,"3.004,35","R$ 17,95",26/05/2026
Fio Reflexx,263251,UNIFI,"2.006,00","R$ 18,55",29/04/2026
Fio Reflexx Pet,358241,UNIFI,"3.005,55","R$ 17,39",26/01/2026
Fio Reflexx Pet,359656,UNIFI,"3.004,10","R$ 17,38",24/02/2026
Fio Reflexx Pet,361269,UNIFI,"2.005,15","R$ 17,38",25/03/2026
Fio Reflexx Pet,263254,UNIFI,"2.005,41","R$ 18,56",29/04/2026
Fio Reflexx Pet,364718,UNIFI,"3.010,10","R$ 18,56",26/05/2026
Fio Reflexx Pet,366526,UNIFI,"1.879,39","R$ 18,80",26/06/2026
Fio Helanca,42809,VENTUNO,"1.884,90","R$ 26,70",23/03/2026