Tipo de Fio,NF,Fornecedor,Quantidade (Kg),Preço Unit. (R$),Data,Situação
Fio Poliester,115411,ANTEX,"3.006,51","R$ 16,13",27/01/2026,
Fio 102 Lavado,158370,AVANTI,"1.000,00","R$ 12,18",30/12/2025,
Fio 102 Lavado,158372,AVANTI,"3.970,00","R$ 12,70",30/12/2025,
Fio Alpina,160169,AVANTI,"2.000,00","R$ 15,92",19/01/2026,
Fio Alpina,164797,AVANTI,"2.000,00","R$ 15,71",24/02/2024,
Fio Alpina,167001,AVANTI,"3.000,00","R$ 18,40",11/03/2026,
Fio Alpina,167155,AVANTI,"2.500,00","R$ 18,40",12/03/2026,
Fio Helanca,41928,AVANTI,"1.522,80","R$ 26,70",16/12/2025,
Fio Helanca,42807,AVANTI,"1.015,20","R$ 26,70",23/03/2026,
Fio Alpina,178741,AVANTI,"4.000,00","R$ 17,51",29/06/2026,
Fio Alpina,8190,KTR,"1.587,60","R$ 18,90",24/02/2026,
Fio 102 Lavado,364736,UNIFI,"4.486,90","R$ 12,20",26/05/2026,
Fio Brilhante,361333,UNIFI,"1.022,34","R$ 17,10",25/03/2026,
Fio Brilhante,263275,UNIFI,"1.012,35","R$ 17,10",29/04/2026,
Fio Pet Reflexx,358237,UNIFI,"1.000,65","R$ 17,38",26/01/2026,
Fio Pet Reflexx,358238,UNIFI,"1.000,00","R$ 17,38",26/01/2026,
Fio Pet Reflexx,359655,UNIFI,"3.000,40","R$ 17,38",24/02/2026,
Fio Pet Reflexx,361333,UNIFI,"2.003,30","R$ 17,38",25/06/2026,
Fio Pet Reflexx,363262,UNIFI,"2.001,96","R$ 18,56",29/04/2026,
Fio Poliester,359761,UNIFI,"3.012,35","R$ 16,73",25/02/2026,
Fio Poliester,361333,UNIFI,"4.010,36","R$ 16,73",25/03/2026,
Fio Poliester,363261,UNIFI,"5.007,95","R$ 17,95",29/04/2026,
Fio Poliester,364719,UNIFI,"3.004,20","R$ 17,95",26/05/2026,
Fio Poliester,366510,UNIFI,"4.001,23","R$ 17,58",26/06/2026,CANCELADO
Fio Poliester,366574,UNIFI,"2.922,28","R$ 17,58",26/06/2026,
Fio Polimp,361333,UNIFI,"1.649,90","R$ 17,58",25/03/2026,